t,X_0.0,X_0.1,X_0.2,X_0.3,X_0.4,X_0.5,X_0.6,X_0.7,X_0.8,X_0.9,X_1.0,X_1.1,X_1.2,X_1.3,X_1.4,X_1.5,X_1.6,X_1.7,X_1.8,X_1.9,X_2.0
5220,2.405131,2.402823,2.395871,2.384195,2.367667,2.346122,2.319373,2.287220,2.249472,2.205965,2.156573,2.101227,2.039928,1.972753,1.899858,1.821478,1.737920,1.649540,1.556732,1.459902,1.359454
5280,2.398861,2.396529,2.389508,2.377722,2.361051,2.339344,2.312423,2.280106,2.242218,2.198607,2.149164,2.093832,2.032622,1.965617,1.892977,1.814936,1.731790,1.643891,1.551622,1.455370,1.355475
5340,2.392500,2.390146,2.383059,2.371171,2.354369,2.332510,2.305432,2.272966,2.234951,2.191252,2.141772,2.086466,2.025356,1.958530,1.886149,1.808446,1.725713,1.638290,1.546545,1.450842,1.351522
5400,2.386052,2.383677,2.376530,2.364547,2.347622,2.325624,2.298402,2.265801,2.227675,2.183902,2.134398,2.079131,2.018129,1.951488,1.879370,1.802004,1.719679,1.632723,1.541492,1.446338,1.347561
5460,2.379521,2.377127,2.369925,2.357853,2.340815,2.318690,2.291337,2.258615,2.220391,2.176558,2.127044,2.071826,2.010942,1.944491,1.872638,1.795611,1.713690,1.627196,1.536468,1.441841,1.343638
5520,2.372913,2.370501,2.363247,2.351093,2.333952,2.311710,2.284239,2.251409,2.213102,2.169221,2.119709,2.064550,2.003792,1.937536,1.865951,1.789259,1.707736,1.621694,1.531463,1.437377,1.339746
5580,2.366230,2.363802,2.356500,2.344272,2.327036,2.304688,2.277110,2.244186,2.205808,2.161893,2.112393,2.057303,1.996677,1.930622,1.859306,1.782950,1.701824,1.616232,1.526498,1.432935,1.335809
5640,2.359478,2.357035,2.349689,2.337393,2.320070,2.297626,2.269954,2.236947,2.198511,2.154573,2.105096,2.050086,1.989600,1.923750,1.852705,1.776686,1.695955,1.610809,1.521559,1.428499,1.331874
5700,2.352660,2.350203,2.342818,2.330459,2.313058,2.290528,2.262773,2.229695,2.191213,2.147264,2.097821,2.042898,1.982560,1.916921,1.846150,1.770466,1.690126,1.605420,1.516641,1.424071,1.327959
5760,2.345781,2.343311,2.335889,2.323474,2.306003,2.283397,2.255569,2.222432,2.183915,2.139967,2.090568,2.035741,1.975556,1.910131,1.839635,1.764284,1.684331,1.600055,1.511742,1.419667,1.324063
5820,2.338843,2.336362,2.328908,2.316442,2.298909,2.276236,2.248345,2.215160,2.176619,2.132681,2.083336,2.028613,1.968587,1.903380,1.833161,1.758144,1.678576,1.594728,1.506878,1.415279,1.320107
5880,2.331852,2.329361,2.321877,2.309367,2.291778,2.269047,2.241103,2.207881,2.169327,2.125409,2.076127,2.021516,1.961656,1.896672,1.826733,1.752050,1.672864,1.589440,1.502038,1.410887,1.316154
5940,2.324810,2.322310,2.314800,2.302250,2.284614,2.261833,2.233846,2.200597,2.162040,2.118153,2.068943,2.014451,1.954763,1.890005,1.820347,1.745995,1.667187,1.584173,1.497202,1.406497,1.312274
6000,2.317722,2.315214,2.307682,2.295097,2.277420,2.254598,2.226578,2.193310,2.154761,2.110913,2.061782,2.007416,1.947903,1.883372,1.813992,1.739966,1.661524,1.578910,1.492370,1.402144,1.308475
6060,2.310591,2.308077,2.300525,2.287911,2.270199,2.247343,2.219298,2.186022,2.147487,2.103687,2.054642,2.000406,1.941072,1.876769,1.807666,1.733963,1.655885,1.573674,1.487577,1.397832,1.304641
6120,2.303422,2.300901,2.293332,2.280693,2.262953,2.240070,2.212008,2.178731,2.140219,2.096474,2.047522,1.993422,1.934270,1.870198,1.801373,1.727994,1.650284,1.568480,1.482823,1.393531,1.300738
6180,2.296215,2.293690,2.286107,2.273447,2.255683,2.232782,2.204709,2.171439,2.132960,2.089277,2.040425,1.986467,1.927502,1.863664,1.795121,1.722067,1.644724,1.563322,1.478087,1.389216,1.296873
6240,2.288975,2.286446,2.278851,2.266175,2.248394,2.225479,2.197405,2.164150,2.125710,2.082097,2.033351,1.979540,1.920767,1.857165,1.788901,1.716170,1.639187,1.558175,1.473354,1.384925,1.293052
6300,2.281704,2.279172,2.271568,2.258880,2.241087,2.218166,2.190096,2.156864,2.118470,2.074934,2.026300,1.972641,1.914061,1.850696,1.782713,1.710303,1.633678,1.553055,1.468651,1.380655,1.289207
6360,2.274406,2.271871,2.264260,2.251563,2.233764,2.210842,2.182784,2.149581,2.111241,2.067788,2.019272,1.965768,1.907386,1.844261,1.776559,1.704470,1.628201,1.547966,1.463972,1.376391,1.285316
6420,2.267082,2.264545,2.256931,2.244229,2.226427,2.203511,2.175471,2.142304,2.104024,2.060660,2.012267,1.958925,1.900744,1.837861,1.770442,1.698675,1.622762,1.542910,1.459314,1.372122,1.281399
6480,2.259737,2.257199,2.249582,2.236879,2.219080,2.196175,2.168158,2.135034,2.096821,2.053553,2.005289,1.952113,1.894137,1.831499,1.764365,1.692918,1.617358,1.537882,1.454670,1.367850,1.277449
6540,2.252371,2.249833,2.242216,2.229516,2.211724,2.188835,2.160849,2.127775,2.089634,2.046468,1.998339,1.945333,1.887565,1.825175,1.758325,1.687196,1.611982,1.532871,1.450026,1.363565,1.273579
6600,2.244990,2.242452,2.234838,2.222142,2.204362,2.181495,2.153546,2.120526,2.082464,2.039405,1.991415,1.938584,1.881026,1.818882,1.752312,1.681496,1.606619,1.527860,1.445382,1.359314,1.269727
6660,2.237596,2.235059,2.227448,2.214762,2.196997,2.174157,2.146248,2.113289,2.075312,2.032364,1.984517,1.931861,1.874515,1.812618,1.746329,1.675823,1.601281,1.522878,1.440772,1.355076,1.265821
6720,2.230191,2.227656,2.220051,2.207376,2.189631,2.166821,2.138959,2.106065,2.068177,2.025345,1.977645,1.925169,1.868037,1.806387,1.740379,1.670182,1.595974,1.517924,1.436178,1.350833,1.261909
6780,2.222778,2.220245,2.212648,2.199986,2.182264,2.159490,2.131679,2.098856,2.061061,2.018350,1.970801,1.918508,1.861591,1.800190,1.734460,1.664570,1.590691,1.512984,1.431587,1.346591,1.258033
6840,2.215359,2.212829,2.205241,2.192596,2.174901,2.152166,2.124409,2.091661,2.053965,2.011379,1.963983,1.911875,1.855176,1.794022,1.728569,1.658982,1.585425,1.508057,1.427008,1.342367,1.254144
6900,2.207937,2.205410,2.197832,2.185207,2.167541,2.144849,2.117152,2.084483,2.046889,2.004432,1.957193,1.905272,1.848790,1.787884,1.722707,1.653420,1.580184,1.503150,1.422443,1.338142,1.250292
6960,2.200513,2.197990,2.190424,2.177820,2.160187,2.137541,2.109908,2.077322,2.039834,1.997508,1.950429,1.898696,1.842432,1.781772,1.716868,1.647876,1.574954,1.498247,1.417879,1.333942,1.246486
7020,2.193090,2.190572,2.183019,2.170438,2.152840,2.130244,2.102677,2.070178,2.032799,1.990607,1.943689,1.892146,1.836099,1.775684,1.711050,1.642351,1.569741,1.493363,1.413341,1.329762,1.242656
7080,2.185669,2.183155,2.175617,2.163061,2.145502,2.122958,2.095461,2.063051,2.025784,1.983729,1.936973,1.885620,1.829791,1.769621,1.705257,1.636850,1.564551,1.488503,1.408823,1.325590,1.238798
