t,X_0.0,X_0.1,X_0.2,X_0.3,X_0.4,X_0.5,X_0.6,X_0.7,X_0.8,X_0.9,X_1.0,X_1.1,X_1.2,X_1.3,X_1.4,X_1.5,X_1.6,X_1.7,X_1.8,X_1.9,X_surface
149460.000000,0.172048,0.171623,0.170342,0.168188,0.165125,0.161101,0.156028,0.149770,0.142100,0.132607,0.120427,0.103123,0.054829,nan,nan,nan,nan,nan,nan,nan,0.054056
149520.000000,0.171997,0.171573,0.170293,0.168139,0.165078,0.161056,0.155985,0.149730,0.142064,0.132574,0.120399,0.103102,0.054824,nan,nan,nan,nan,nan,nan,nan,0.054052
149580.000000,0.171947,0.171523,0.170243,0.168091,0.165031,0.161010,0.155942,0.149690,0.142027,0.132542,0.120372,0.103081,0.054820,nan,nan,nan,nan,nan,nan,nan,0.054048
149640.000000,0.171897,0.171472,0.170194,0.168042,0.164984,0.160965,0.155900,0.149650,0.141991,0.132509,0.120344,0.103059,0.054815,nan,nan,nan,nan,nan,nan,nan,0.054044
149700.000000,0.171846,0.171422,0.170145,0.167994,0.164938,0.160920,0.155857,0.149610,0.141954,0.132477,0.120316,0.103038,0.054811,nan,nan,nan,nan,nan,nan,nan,0.054040
149760.000000,0.171796,0.171372,0.170095,0.167946,0.164891,0.160875,0.155814,0.149571,0.141918,0.132444,0.120289,0.103017,0.054806,nan,nan,nan,nan,nan,nan,nan,0.054036
149820.000000,0.171746,0.171323,0.170046,0.167898,0.164844,0.160830,0.155772,0.149531,0.141881,0.132412,0.120261,0.102996,0.054802,nan,nan,nan,nan,nan,nan,nan,0.054032
149880.000000,0.171696,0.171273,0.169997,0.167849,0.164797,0.160786,0.155729,0.149491,0.141845,0.132379,0.120234,0.102975,0.054798,nan,nan,nan,nan,nan,nan,nan,0.054028
149940.000000,0.171646,0.171223,0.169947,0.167801,0.164750,0.160741,0.155687,0.149451,0.141808,0.132347,0.120206,0.102954,0.054793,nan,nan,nan,nan,nan,nan,nan,0.054024
150000.000000,0.171596,0.171173,0.169898,0.167753,0.164704,0.160696,0.155644,0.149412,0.141772,0.132315,0.120179,0.102933,0.054789,nan,nan,nan,nan,nan,nan,nan,0.054020
150060.000000,0.171546,0.171123,0.169849,0.167705,0.164657,0.160651,0.155602,0.149372,0.141736,0.132282,0.120151,0.102912,0.054784,nan,nan,nan,nan,nan,nan,nan,0.054016
150120.000000,0.171496,0.171074,0.169800,0.167657,0.164610,0.160606,0.155559,0.149332,0.141699,0.132250,0.120124,0.102891,0.054780,nan,nan,nan,nan,nan,nan,nan,0.054013
150180.000000,0.171446,0.171024,0.169751,0.167609,0.164564,0.160562,0.155517,0.149293,0.141663,0.132218,0.120096,0.102869,0.054776,nan,nan,nan,nan,nan,nan,nan,0.054009
150240.000000,0.171397,0.170975,0.169702,0.167561,0.164517,0.160517,0.155475,0.149253,0.141627,0.132186,0.120069,0.102848,0.054771,nan,nan,nan,nan,nan,nan,nan,0.054005
150300.000000,0.171347,0.170925,0.169653,0.167513,0.164471,0.160473,0.155432,0.149214,0.141591,0.132153,0.120042,0.102827,0.054767,nan,nan,nan,nan,nan,nan,nan,0.054001
