scenario,T_platform_C,hm_factor,r_cm,X_event,is_pareto,representative
T48.75_hm1,48.75,1,1.42,0.1281875924,False,
T48.75_hm1,48.75,1,1.44,0.127413979,False,
T48.75_hm1,48.75,1,1.46,0.1266156592,False,
T48.75_hm1,48.75,1,1.48,0.1257911724,False,
T48.75_hm1,48.75,1,1.5,0.1249386354,False,
T48.75_hm1,48.75,1,1.52,0.1240568111,False,
T48.75_hm1,48.75,1,1.54,0.1231438371,False,
T48.75_hm1,48.75,1,1.56,0.1221976283,False,
T48.75_hm1,48.75,1,1.58,0.1212155033,False,
T48.75_hm1,48.75,1,1.6,0.1201946137,False,
T48.75_hm1,48.75,1,1.62,0.1191323354,False,
T48.75_hm1,48.75,1,1.64,0.1180251838,False,
T48.75_hm1,48.75,1,1.66,0.116869139,False,
T48.75_hm1,48.75,1,1.68,0.1156587238,False,
T48.75_hm1,48.75,1,1.7,0.1143886512,False,
T48.75_hm1,48.75,1,1.72,0.1130527278,False,
T48.75_hm1,48.75,1,1.74,0.1116430868,False,
T48.75_hm1,48.75,1,1.76,0.1101501723,False,
T48.75_hm1,48.75,1,1.78,0.1085601843,False,
T48.75_hm1,48.75,1,1.8,0.1068594707,False,
T48.75_hm1,48.75,1,1.82,0.1050289945,False,
T48.75_hm1,48.75,1,1.84,0.1030434607,False,
T48.75_hm1,48.75,1,1.86,0.1008678569,False,
T48.75_hm1,48.75,1,1.88,0.09844879234,False,
T48.75_hm1,48.75,1,1.9,0.09571605399,False,
T48.75_hm1,48.75,1,1.92,0.0925520588,False,
T48.75_hm1,48.75,1,1.94,0.08874908791,False,
T48.75_hm1,48.75,1,1.96,0.08386142033,False,
T48.75_hm1,48.75,1,1.98,0.07656399296,False,
T48.75_hm1,48.75,1,2,0.05239891642,False,
T49_hm1,49,1,0,0.1500000005,False,
T49_hm1,49,1,0.02,0.1499963782,False,
T49_hm1,49,1,0.04,0.1499855103,False,
T49_hm1,49,1,0.06,0.1499673014,False,
T49_hm1,49,1,0.08,0.1499417813,False,
T49_hm1,49,1,0.1,0.1499089986,False,
T49_hm1,49,1,0.12,0.1498689433,False,
T49_hm1,49,1,0.14,0.149821603,False,
T49_hm1,49,1,0.16,0.1497668348,False,
T49_hm1,49,1,0.18,0.1497047282,False,
T49_hm1,49,1,0.2,0.1496352852,False,
T49_hm1,49,1,0.22,0.1495584841,False,
T49_hm1,49,1,0.24,0.1494742864,False,
T49_hm1,49,1,0.26,0.1493825422,False,
T49_hm1,49,1,0.28,0.1492833592,False,
T49_hm1,49,1,0.3,0.1491767057,False,
T49_hm1,49,1,0.32,0.1490625475,False,
T49_hm1,49,1,0.34,0.1489407958,False,
